name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Spark's Fitness & Wellness Resort,"['Fitness', 'Indoorcycling', 'Yoga']",False,"['M', 'L', 'XL']",M,Saarlouis,Lilienthalstraße 14,https://urbansportsclub.com//de/venues/sparks-fitness-wellness-resort,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Spark&#039;s Fitness &amp; Wellness Resort', 'description': 'Das Spark’s brilliert durch ein professionelles Trainings- und Betreuungskonzept – basierend auf den neuesten Erkenntnissen der Sportmedizin, einer innovative Gesamtausstattung des Clubs im Trainings-, Kurs- und Spa-Bereich sowie der perfekten Lage direkt in Saarlouis.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66740', 'streetAddress': 'Lilienthalstraße 14'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.309695', 'longitude': '6.7329673'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_66c09e61c486-lowres%20neu_1673259862339607_admin.jpg?generation=1673259862401987&amp;alt=media'}",49.309695,6.7329673,"Das Spark’s brilliert durch ein professionelles Trainings- und Betreuungskonzept – basierend auf den neuesten Erkenntnissen der Sportmedizin, einer innovative Gesamtausstattung des Clubs im Trainings-, Kurs- und Spa-Bereich sowie der perfekten Lage direkt in Saarlouis."
Jumpers Saarlouis,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Saarlouis,Metzer Straße42,https://urbansportsclub.com//de/venues/jumpers-saarlouis,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Jumpers Saarlouis', 'description': 'Ich packe meinen Koffer und nehme mit: meine Sportsachen – und meine Urban Sports Club-App. Und schon geht&#039;s los! Als Urban Sports Mitglied kannst du in allen jumpers Standorten in Deutschland einchecken. Ob du deine Oma in Hessen besuchst, auf Geschäftsreise in Baden-Württemberg bist oder Urlaub in Bayern, Rheinland-Pfalz oder dem Saarland machst: Auf dein Sportprogramm musst du nicht verzichten. Alle Jumpers Studios bieten dir Kraft- und Ausdauertraining. Genauso steht dir aber auch Functional- oder Zirkeltraining zur Verfügung. Du möchtest mehr erfahren über das volle Angebot im Jumpers Studio deiner Wahl? Dann folge dem link zur Jumpers-website. Deine Urban Sports Club Mitgliedschaft entspricht den Angeboten des Jumpers Premium-Pakets (ausgenommen Cardio Scan). Das Jumpers Team freut sich bereits auf deinen Besuch!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66740', 'streetAddress': 'Metzer Straße42'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.3060471', 'longitude': '6.7404742'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1225x689_Theke_Saarlouis_368x198px_1545397667189860_admin.jpg?alt=media'}",49.3060471,6.7404742,"Ich packe meinen Koffer und nehme mit: meine Sportsachen – und meine Urban Sports Club-App. Und schon geht&#039;s los! Als Urban Sports Mitglied kannst du in allen jumpers Standorten in Deutschland einchecken. Ob du deine Oma in Hessen besuchst, auf Geschäftsreise in Baden-Württemberg bist oder Urlaub in Bayern, Rheinland-Pfalz oder dem Saarland machst: Auf dein Sportprogramm musst du nicht verzichten. Alle Jumpers Studios bieten dir Kraft- und Ausdauertraining. Genauso steht dir aber auch Functional- oder Zirkeltraining zur Verfügung. Du möchtest mehr erfahren über das volle Angebot im Jumpers Studio deiner Wahl? Dann folge dem link zur Jumpers-website. Deine Urban Sports Club Mitgliedschaft entspricht den Angeboten des Jumpers Premium-Pakets (ausgenommen Cardio Scan). Das Jumpers Team freut sich bereits auf deinen Besuch!"
Rocklands Saarlouis,"['Bouldern', 'Klettern']",False,"['M', 'L', 'XL']",M,Saarlouis,St. Nazairer Allee 10,https://urbansportsclub.com//de/venues/rocklands-saarlouis-stwendel-1,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Rocklands Saarlouis', 'description': 'Rocklands Saarlouis ist groß, hell, weiträumig und liegt direkt an der Saar.Hier kannst Duin bester Atmosphäre und an erstklassigen Wänden Klettern, Bouldern &amp; Trainieren. Zusammen mit Gleichgesinnten, egal ob Anfänger oder echter Hard Mover,Du kannst Dich bei uns perfekt auspowern.Auf 1000 m2 findest Du 16m hohe Innen-&amp; Außenkletterwände, zwei Boulderbereiche, eine Biezepsschmiede, eine Calisthenicsanlage, einen großzügigen Außenbereich mit Speedduellwand &amp; ein Basecamp, das mit hausgemachten Pizzen &amp; schwarzem heißem Kaffee besticht.Das Team Rocklands steht Dir bei Fragen immer zur Seite und freut sich auf Dich! Die Rocklands St.Wendel ist eine einzigartige Kletterhalle im Nordosten des Saarlandes. Hier wurde 2010 ein ehemaliges Hallenbadin eine Kletterhalle mit ca. 1000qm2 Kletterfläche&amp; 300qm2 Innen-&amp; Außenboulderfläche verwandelt. Nunfindet sich dorteine Boulder-und Kletterlocation, die ihresgleichen sucht. Thementrainingsräume wie unser Pumpkeller, (Krafttrainingsraum mit Moonboard, Campusboard, Steckbrett) das Tanzkaffee (Trainingsraum für Beweglichkeits-, Koordinations-&amp; Balancetraining) oder der 19 m hohe Schornstein im Außenbereich sorgen für ein urbanes Trainingsfeeling. Unser Bistro Schlecko besticht mit freiem W-Lan, feinstem Cafe, hausgemachten Pizzen und einem Biergarten im Außenbereich. Dies rundet jeden Besuch gelungen ab. Das Team Rocklands steht Dir bei Fragen immer zur Seite und freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66740', 'streetAddress': 'St. Nazairer Allee 10'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.3203806', 'longitude': '6.7419727'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_qEjXjeWD_1550507897363536_admin.jpeg?alt=media'}",49.3203806,6.7419727,"Rocklands Saarlouis ist groß, hell, weiträumig und liegt direkt an der Saar.Hier kannst Duin bester Atmosphäre und an erstklassigen Wänden Klettern, Bouldern &amp; Trainieren. Zusammen mit Gleichgesinnten, egal ob Anfänger oder echter Hard Mover,Du kannst Dich bei uns perfekt auspowern.Auf 1000 m2 findest Du 16m hohe Innen-&amp; Außenkletterwände, zwei Boulderbereiche, eine Biezepsschmiede, eine Calisthenicsanlage, einen großzügigen Außenbereich mit Speedduellwand &amp; ein Basecamp, das mit hausgemachten Pizzen &amp; schwarzem heißem Kaffee besticht.Das Team Rocklands steht Dir bei Fragen immer zur Seite und freut sich auf Dich! Die Rocklands St.Wendel ist eine einzigartige Kletterhalle im Nordosten des Saarlandes. Hier wurde 2010 ein ehemaliges Hallenbadin eine Kletterhalle mit ca. 1000qm2 Kletterfläche&amp; 300qm2 Innen-&amp; Außenboulderfläche verwandelt. Nunfindet sich dorteine Boulder-und Kletterlocation, die ihresgleichen sucht. Thementrainingsräume wie unser Pumpkeller, (Krafttrainingsraum mit Moonboard, Campusboard, Steckbrett) das Tanzkaffee (Trainingsraum für Beweglichkeits-, Koordinations-&amp; Balancetraining) oder der 19 m hohe Schornstein im Außenbereich sorgen für ein urbanes Trainingsfeeling. Unser Bistro Schlecko besticht mit freiem W-Lan, feinstem Cafe, hausgemachten Pizzen und einem Biergarten im Außenbereich. Dies rundet jeden Besuch gelungen ab. Das Team Rocklands steht Dir bei Fragen immer zur Seite und freut sich auf Dich!"
Kern-Fit,['Fitness'],False,"['M', 'L', 'XL']",M,Saarlouis,Margaretenstraße 52b,https://urbansportsclub.com//de/venues/kern-fit,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Kern-Fit', 'description': 'Kern-Fit ist das Fitnessstudio für Funktionelles Training in Saarlouis. Egal ob Langhantel, Kettlebell oder Schlingentrainer, hier findest Du das beste Equipment für dein Training. Unser Fokus liegt auf funktioneller Bewegung, Schmerzfreiheit und einer positiven, lockeren Atmosphäre, denn nur so kannst Du langfristig, effektiv trainieren. Von Montag bis Freitag 08-20 Uhr ist immer mindestens ein Trainer im Gym um dich dabei zu unterstützen deine Ziele zu erreichen! Wir freuen uns auf Dich, dein Kern-Team! BEACHTE: Einen festen Kursplan haben wir nicht, die Workshops werden wöchentlich flexibel terminiert und sind immer auf der Homepage/ im Social Media zu finden.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66740', 'streetAddress': 'Margaretenstraße 52b'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.3278716', 'longitude': '6.7534429'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_Kern-Fit%20Saarlouis_1549545194184419_admin.jpg?alt=media'}",49.3278716,6.7534429,"Kern-Fit ist das Fitnessstudio für Funktionelles Training in Saarlouis. Egal ob Langhantel, Kettlebell oder Schlingentrainer, hier findest Du das beste Equipment für dein Training. Unser Fokus liegt auf funktioneller Bewegung, Schmerzfreiheit und einer positiven, lockeren Atmosphäre, denn nur so kannst Du langfristig, effektiv trainieren. Von Montag bis Freitag 08-20 Uhr ist immer mindestens ein Trainer im Gym um dich dabei zu unterstützen deine Ziele zu erreichen! Wir freuen uns auf Dich, dein Kern-Team! BEACHTE: Einen festen Kursplan haben wir nicht, die Workshops werden wöchentlich flexibel terminiert und sind immer auf der Homepage/ im Social Media zu finden."
Outdoor Nation - DM Parkplatz,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,St. Wendel,Tholeyer Straße 3,https://urbansportsclub.com//de/venues/outdoor-nation-dm-parkplatz,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation - DM Parkplatz', 'description': 'Outdoor Nation - Kevin Thewes freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66606', 'streetAddress': 'Tholeyer Straße 3'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4674159', 'longitude': '7.1639594'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_fitnesscompressed%20(16)_1632845117537118_admin.jpg?generation=1632845117629938&amp;alt=media'}",49.4674159,7.1639594,Outdoor Nation - Kevin Thewes freut sich auf Dich!
Outdoor Nation - Parkplatz Bostalsee,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,St. Wendel,Am Seehafen 1,https://urbansportsclub.com//de/venues/outdoor-nation-parkplatz-bostalsee,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation - Parkplatz Bostalsee', 'description': 'Outdoor Nation - Kevin Thewes freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66625', 'streetAddress': 'Am Seehafen 1'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.5645914', 'longitude': '7.0643752'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_fitnesscompressed%20(16)_1632845084877952_admin.jpg?generation=1632845085010155&amp;alt=media'}",49.5645914,7.0643752,Outdoor Nation - Kevin Thewes freut sich auf Dich!
Outdoor Nation - Parkplatz Cusanus Gymnasium,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,St. Wendel,Am Kniebrecher 1,https://urbansportsclub.com//de/venues/outdoor-nation-parkplatz-cusanus-gymnasium,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation - Parkplatz Cusanus Gymnasium', 'description': 'Outdoor Nation - Kevin Thewes freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66606', 'streetAddress': 'Am Kniebrecher 1'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4635468', 'longitude': '7.181676'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_fitnesscompressed%20(16)_1632845145450954_admin.jpg?generation=1632845145529179&amp;alt=media'}",49.4635468,7.181676,Outdoor Nation - Kevin Thewes freut sich auf Dich!
Outdoor Nation - Parkplatz am Skatepark,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,St. Wendel,Welvertstraße 2,https://urbansportsclub.com//de/venues/outdoor-nation-parkplatz-am-skatepark,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation - Parkplatz am Skatepark', 'description': 'Outdoor Nation - Kevin Thewes freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66606', 'streetAddress': 'Welvertstraße 2'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4694663', 'longitude': '7.1450149'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_fitnesscompressed%20(16)_1632845159906180_admin.jpg?generation=1632845160014450&amp;alt=media'}",49.4694663,7.1450149,Outdoor Nation - Kevin Thewes freut sich auf Dich!
Outdoor Nation Ensdorf - Zum Sportzentrum,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Saarlouis,Saarpolygon Parkplatz,https://urbansportsclub.com//de/venues/outdoor-nation-ensdorf-zum-sportzentrum,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation Ensdorf - Zum Sportzentrum', 'description': 'Wir machen Fitness einfach, effizient und für jeden erschwinglich. Outdoor-Nation verkörpert ein Lebensgefühl. Unter freiem Himmel, bei Wind und Wetter die eigenen Muskeln stählen, Körper und Geist in Form bringen. Zusammen mit tollen Menschen durchhalten, kämpfen und motivieren.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66806', 'streetAddress': 'Saarpolygon Parkplatz'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.312912', 'longitude': '6.785709'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_Titelbild%20Urban%20Sportsclub2_1631616535233203_admin.jpg?generation=1631616535334691&amp;alt=media'}",49.312912,6.785709,"Wir machen Fitness einfach, effizient und für jeden erschwinglich. Outdoor-Nation verkörpert ein Lebensgefühl. Unter freiem Himmel, bei Wind und Wetter die eigenen Muskeln stählen, Körper und Geist in Form bringen. Zusammen mit tollen Menschen durchhalten, kämpfen und motivieren."
Outdoor Nation Saarlouis - Vaubaninsel,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Saarlouis,Vaubanstraße 25,https://urbansportsclub.com//de/venues/outdoor-nation-saarlouis-vaubaninsel,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Nation Saarlouis - Vaubaninsel', 'description': 'Wir machen Fitness einfach, effizient und für jeden erschwinglich. Outdoor-Nation verkörpert ein Lebensgefühl. Unter freiem Himmel, bei Wind und Wetter die eigenen Muskeln stählen, Körper und Geist in Form bringen. Zusammen mit tollen Menschen durchhalten, kämpfen und motivieren.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Saarlouis, Germany', 'addressCountry': 'Germany', 'postalCode': '66740', 'streetAddress': 'Vaubanstraße 25'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.313656', 'longitude': '6.744125'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_vxbh2slmi6bgfkvpohjv_1685610832351516.png?generation=1685610832395338&amp;alt=media'}",49.313656,6.744125,"Wir machen Fitness einfach, effizient und für jeden erschwinglich. Outdoor-Nation verkörpert ein Lebensgefühl. Unter freiem Himmel, bei Wind und Wetter die eigenen Muskeln stählen, Körper und Geist in Form bringen. Zusammen mit tollen Menschen durchhalten, kämpfen und motivieren."
