name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Jumpsquare Arnhem (Jumpfit),['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Arnhem,Van Oldenbarneveldtstraat 91,https://urbansportsclub.com//en/venues/jumpsquare-arnhem-jumpfit,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Jumpsquare Arnhem (Jumpfit)', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Arnhem, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6827 AL', 'streetAddress': 'Van Oldenbarneveldtstraat 91'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.9750786', 'longitude': '5.9220079'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_sfvzxzargcbcfrbics0p_1727435672902106.png?generation=1727435673007664&amp;alt=media'}",51.9750786,5.9220079,
NatuurlijkSportief Arnhem,['Bootcamp'],False,"['S', 'M', 'L', 'XL']",S,Arnhem,Mariëndaal 4,https://urbansportsclub.com//en/venues/natuurlijksportief-arnhem,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'NatuurlijkSportief Arnhem', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Arnhem, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6861 WN', 'streetAddress': 'Mariëndaal 4'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.9870253', 'longitude': '5.8632108'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_wjvb6utiymiwgdbahonq_172779165415933.png?generation=1727791654109374&amp;alt=media'}",51.9870253,5.8632108,
Shape Shifters,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Arnhem,Vlamoven 34,https://urbansportsclub.com//en/venues/shape-shifters,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Shape Shifters', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Arnhem, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6826 TN', 'streetAddress': 'Vlamoven 34'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.9756238', 'longitude': '5.9556174'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_p1b60wvsgflatu4ludcx_1727956899456701.png?generation=1727956899549105&amp;alt=media'}",51.9756238,5.9556174,
YOU The Gym,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Arnhem,Beekstraat 70,https://urbansportsclub.com//en/venues/you-the-gym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'YOU The Gym', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Arnhem, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6811 DW', 'streetAddress': 'Beekstraat 70'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.9804479', 'longitude': '5.9117764'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_4376x2461_kabhjppodhylvcdkbjww_1726243880399278.png?generation=1726243880697445&amp;alt=media'}",51.9804479,5.9117764,
