name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Arkose - Nice,['Bouldering'],False,"['M', 'L', 'XL']",M,Saint-Isidore,"Centre Commercial Nice Valley, Boulevard des Jardiniers",https://urbansportsclub.com//en/venues/arkose-nice,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Arkose - Nice', 'description': '-', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nice, France', 'addressCountry': 'France', 'postalCode': '06200', 'streetAddress': 'Centre Commercial Nice Valley, Boulevard des Jardiniers'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.705624', 'longitude': '7.1939522'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_2048x1152_Arkose%20Nice_050320%20(9)_1715072979512519_admin.jpg?generation=1715072979587305&amp;alt=media'}",43.705624,7.1939522,-
Studio Yoga Flow Cannes,"['Meditation', 'Yoga']",False,"['M', 'L', 'XL']",M,Cannes,"7, Rue Léopold Bucquet",https://urbansportsclub.com//en/venues/studio-yoga-flow-cannes,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Studio Yoga Flow Cannes', 'description': 'Un mot du partenaire 📣 : Le studio Yoga Flow Cannes se situe au cœur de la ville à seulement 3 min de la gare et du parking Vauban. C’est un espace lumineux niché au 3e étage avec une verrière en guise de toiture où vous vous ressourcez dès que vous passez la porte dans une ambiance chaleureuse et conviviale. Sabrina vous guide avec passion. Le choix des pratiques est varié pour le plaisir de tous : Yoga doux, Yoga dynamique, Yoga aérien, Yoga Connecté, méditation, soirées rituelles et Connectées, soins sonores et énergétiques (collectifs ou en individuel). Il y a aussi un cours face à la mer chaque samedi et toute l’année. Matériel mis à disposition 🧘\u200d♂️ : Le matériel est fourni, il suffit de venir seulement en tenue adaptée avec votre serviette et votre gourde. Installation disponible 🚿 : Pas de douches mais possibilité de se changer sur place. Notre coup de 🖤 : La spécialité du studio, le yoga connecté ! Le “𝗬𝗼𝗴𝗮 𝗖𝗼𝗻𝗻𝗲𝗰𝘁é ” tel que je l’ai appelé se situe entre tradition et modernité : j’utilise des casques audio comme un outil précieux où la technologie se mêle à l’authenticité du yoga. Votre séance est transcendée en 𝗲𝘅𝗽é𝗿𝗶𝗲𝗻𝗰𝗲 𝗶𝗺𝗺𝗲𝗿𝘀𝗶𝘃𝗲. Une ode au voyage sensoriel et extrasensoriel, une évasion poétique à la rencontre de Soi dans une bulle musicale hors du temps. On utilise les casques pour différentes pratiques : Yoga doux, yoga dynamique et méditation guidée.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nice, France', 'addressCountry': 'France', 'postalCode': '06400', 'streetAddress': '7, Rue Léopold Bucquet'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.5555637', 'longitude': '7.0162378'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1080x608_Story.zip%20-%2043_1730467803844971_admin.png?generation=1730467803962890&amp;alt=media'}",43.5555637,7.0162378,"Un mot du partenaire 📣 : Le studio Yoga Flow Cannes se situe au cœur de la ville à seulement 3 min de la gare et du parking Vauban. C’est un espace lumineux niché au 3e étage avec une verrière en guise de toiture où vous vous ressourcez dès que vous passez la porte dans une ambiance chaleureuse et conviviale. Sabrina vous guide avec passion. Le choix des pratiques est varié pour le plaisir de tous : Yoga doux, Yoga dynamique, Yoga aérien, Yoga Connecté, méditation, soirées rituelles et Connectées, soins sonores et énergétiques (collectifs ou en individuel). Il y a aussi un cours face à la mer chaque samedi et toute l’année. Matériel mis à disposition 🧘‍♂️ : Le matériel est fourni, il suffit de venir seulement en tenue adaptée avec votre serviette et votre gourde. Installation disponible 🚿 : Pas de douches mais possibilité de se changer sur place. Notre coup de 🖤 : La spécialité du studio, le yoga connecté ! Le “𝗬𝗼𝗴𝗮 𝗖𝗼𝗻𝗻𝗲𝗰𝘁é ” tel que je l’ai appelé se situe entre tradition et modernité : j’utilise des casques audio comme un outil précieux où la technologie se mêle à l’authenticité du yoga. Votre séance est transcendée en 𝗲𝘅𝗽é𝗿𝗶𝗲𝗻𝗰𝗲 𝗶𝗺𝗺𝗲𝗿𝘀𝗶𝘃𝗲. Une ode au voyage sensoriel et extrasensoriel, une évasion poétique à la rencontre de Soi dans une bulle musicale hors du temps. On utilise les casques pour différentes pratiques : Yoga doux, yoga dynamique et méditation guidée."
