name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
All About You,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Centrum,Hooikade 44,https://urbansportsclub.com//en/venues/all-about-you,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'All About You', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2514 BK', 'streetAddress': 'Hooikade 44'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0861156', 'longitude': '4.3123364'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_xaorvhqrxf3v3ygojhyp_1727364179943880.png?generation=1727364180092352&amp;alt=media'}",52.0861156,4.3123364,
Apex HQ,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Rijswijk,Handelskade 70,https://urbansportsclub.com//en/venues/apex-hq,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Apex HQ', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2288 BG', 'streetAddress': 'Handelskade 70'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0441523', 'longitude': '4.3349486'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_ntygjb1cfuomrzehteff_172744664415009.png?generation=1727446644107457&amp;alt=media'}",52.0441523,4.3349486,
Balance in Bloom - WRKSHOP,['Yoga'],False,"['S', 'M', 'L', 'XL']",S,Voorburg,Van de Wateringelaan 1B,https://urbansportsclub.com//en/venues/wrkshop,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Balance in Bloom - WRKSHOP', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2274', 'streetAddress': 'Van de Wateringelaan 1B'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0767888', 'longitude': '4.345307'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_xph2symrnsar5ldclhlb_1727681145418443.png?generation=1727681145578879&amp;alt=media'}",52.0767888,4.345307,
Beachclinics - Sportcampus Zuiderpark,['Tennis'],False,"['S', 'M', 'L', 'XL']",S,Loosduinen,Meester P. Droogleever Fortuynweg,https://urbansportsclub.com//en/venues/sportcampus-zuiderpark,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Beachclinics - Sportcampus Zuiderpark', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2533', 'streetAddress': 'Meester P. Droogleever Fortuynweg'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0554237', 'longitude': '4.2905822'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_yv8x9tifvdkxuwzbqsgm_1727690847102271.png?generation=1727690847212229&amp;alt=media'}",52.0554237,4.2905822,
Bliss Soul,['Yoga'],False,"['S', 'M', 'L', 'XL']",S,Centrum,Brouwersgracht 2K,https://urbansportsclub.com//en/venues/bliss-soul,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Bliss Soul', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2512 ER', 'streetAddress': 'Brouwersgracht 2K'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0737275', 'longitude': '4.3061909'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_ziad4mhhvuyk0udrwugz_1727704248200357.png?generation=1727704248297801&amp;alt=media'}",52.0737275,4.3061909,
Bootcamp & Obstacle Klub Den Haag (HYROX Box),"['Bootcamp', 'Fitness']",False,"['S', 'M', 'L', 'XL']",S,Laak,Jaap Edenweg 10,https://urbansportsclub.com//en/venues/bootcamp-obstacle-klub-den-haag,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Bootcamp &amp; Obstacle Klub Den Haag (HYROX Box)', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2544 NL', 'streetAddress': 'Jaap Edenweg 10'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.038884', 'longitude': '4.241322'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_flpwckzgfcq7lfwpflwe_1727710774442365.png?generation=1727710774539441&amp;alt=media'}",52.038884,4.241322,
Boxing Group,['Boxing Sports'],False,"['S', 'M', 'L', 'XL']",S,Voorburg,Fransstraat 16 16,https://urbansportsclub.com//en/venues/boxing-group,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Boxing Group ', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2274 AX', 'streetAddress': 'Fransstraat 16 16'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.072559913', 'longitude': '4.345115754'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_asct9ssoaywi9wus2o0b_1727771916123550.png?generation=1727771916201132&amp;alt=media'}",52.072559913,4.345115754,
Byoga - De Ruimte,['Yoga'],False,"['S', 'M', 'L', 'XL']",S,Centrum,Witte de Withstraat 27,https://urbansportsclub.com//en/venues/de-ruimte,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Byoga - De Ruimte', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2518 CP', 'streetAddress': 'Witte de Withstraat 27'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0803332', 'longitude': '4.2948927'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_inrldoz5kjmnusmvysvs_1727777186735286.png?generation=1727777186822882&amp;alt=media'}",52.0803332,4.2948927,
Byoga - Iyengar Yoga Centrum,['Yoga'],False,"['S', 'M', 'L', 'XL']",S,Centrum,Anna Paulownastraat 89,https://urbansportsclub.com//en/venues/iyengar-yoga-centrum,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Byoga - Iyengar Yoga Centrum', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2518 BC', 'streetAddress': 'Anna Paulownastraat 89'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0855076', 'longitude': '4.2992065'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_v08jh67alffek44qbobf_172777725646903.png?generation=1727777256133928&amp;alt=media'}",52.0855076,4.2992065,
CLOUD/Danslab,['Dance'],False,"['S', 'M', 'L', 'XL']",S,Centrum,De Constant Rebecqueplein 20b,https://urbansportsclub.com//en/venues/cloud-danslab,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'CLOUD/Danslab', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2518 RA', 'streetAddress': 'De Constant Rebecqueplein 20b'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0765899', 'longitude': '4.291422'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_loafepgj0xabxrbxg3cc_1727790319264339.png?generation=1727790319354051&amp;alt=media'}",52.0765899,4.291422,
