name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Piscine Alfred Nakache,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Route de Vauguières 237,https://urbansportsclub.com//en/venues/piscine-alfred-nakache-1,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Alfred Nakache', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34000', 'streetAddress': 'Route de Vauguières 237'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.6056154', 'longitude': '3.9061135'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_760x427_s8mfprkkreglfpt08xrg_1764943752847543.png?generation=1764943752914803&amp;alt=media'}",43.6056154,3.9061135,
Piscine Françoise et Yves Jarrousse,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Avenue du Professeur Emile Jeanbrau 532,https://urbansportsclub.com//en/venues/piscine-franoise-et-yves-jarrousse,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Françoise et Yves Jarrousse', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34090', 'streetAddress': 'Avenue du Professeur Emile Jeanbrau 532'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.634988', 'longitude': '3.8627678'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_760x427_yhzoweylzty6n9qij9yu_1764944101785484.png?generation=1764944101857759&amp;alt=media'}",43.634988,3.8627678,
Piscine Jean Taris,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Rue Louise Michel 67,https://urbansportsclub.com//en/venues/piscine-jean-taris-2,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Jean Taris', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34000', 'streetAddress': 'Rue Louise Michel 67'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.6205931', 'longitude': '3.9013239'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_759x427_stj3ztvdefoklgvmhg2j_1764943634927092.jpg?generation=1764943635042685&amp;alt=media'}",43.6205931,3.9013239,
Piscine Jean Vivès,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Avenue de Maurin 1933,https://urbansportsclub.com//en/venues/piscine-jean-vivs,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Jean Vivès', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34000', 'streetAddress': 'Avenue de Maurin 1933'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.587751', 'longitude': '3.8725858'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_768x431_yaalknjig2s76uyimqvn_176457967663240.png?generation=1764579676132500&amp;alt=media'}",43.587751,3.8725858,
Piscine Marcel Spilliaert,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Rue Camille Desmoulins 154,https://urbansportsclub.com//en/venues/piscine-marcel-spilliaert,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Marcel Spilliaert', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34070', 'streetAddress': 'Rue Camille Desmoulins 154'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.5981933', 'longitude': '3.8433437'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_768x431_qsls0m54iegl44waqbup_1764579448408401.png?generation=1764579448469273&amp;alt=media'}",43.5981933,3.8433437,
Piscine Olympique Angelotti,['Swimming'],False,"['Classic', 'Premium', 'Max']",Classic,Montpellier,Avenue Jacques Cartier 195,https://urbansportsclub.com//en/venues/piscine-olympique-angelotti,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Olympique Angelotti', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34000', 'streetAddress': 'Avenue Jacques Cartier 195'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.6075555', 'longitude': '3.8930627'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_541x304_bhzpcmhspi3hnbhmvngs_1762860161418332.png?generation=1762860161511461&amp;alt=media'}",43.6075555,3.8930627,
Piscine Pitot,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Place Jacques Mirouze 230,https://urbansportsclub.com//en/venues/piscine-pitot,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Pitot', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34000', 'streetAddress': 'Place Jacques Mirouze 230'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.6125552', 'longitude': '3.8706843'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_768x431_addkvclfjqmib3jg1qjb_1764579210653349.png?generation=1764579210718038&amp;alt=media'}",43.6125552,3.8706843,
Piscine Suzanne Berlioux,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Montpellier,Rue de la Métairie de Saysset 551,https://urbansportsclub.com//en/venues/piscine-suzanne-berlioux,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Piscine Suzanne Berlioux', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Montpellier, France', 'addressCountry': 'France', 'postalCode': '34070', 'streetAddress': 'Rue de la Métairie de Saysset 551'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '43.5903095', 'longitude': '3.8949471'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/venues%2Foriginal_782x439_wnhvxdpqjk0tclzit59t_1762938924875384.png?generation=1762938924925284&amp;alt=media'}",43.5903095,3.8949471,
